studio_title,url,alert_level,alert_reason,http_status,final_url,is_redirect,redirect_count,content_keyword_found,checked_at,error_message
BUZZ レンタルスタジオ 新宿ハウス店,https://buzz-st.com/shinjuku2/,OK,,200,https://buzz-st.com/shinjuku2,True,1,True,2026-05-27T19:53:51,
レンタルダンススタジオ LANDstudio 新宿店,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,ERROR,"接続エラー: 接続エラー: HTTPSConnectionPool(host='land-studio.jp', port=443): Max retries exceeded with url: /?utm_source=gbp&utm_medium=referral (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x78fd2cfe53a0>: Failed to resolve 'land-studio.jp' ([Errno -2] Name or service not known)""))",-1,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,False,0,False,2026-05-27T19:53:53,"接続エラー: HTTPSConnectionPool(host='land-studio.jp', port=443): Max retries exceeded with url: /?utm_source=gbp&utm_medium=referral (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x78fd2cfe53a0>: Failed to resolve 'land-studio.jp' ([Errno -2] Name or service not known)""))"
新宿 だんすた レンタルスタジオ,https://shinjuku2.inforent.jp/,OK,,200,https://shinjuku2.inforent.jp/,False,0,True,2026-05-27T19:53:55,
ICHIBANGAI Dance Studio,http://www.studio1b.jp/,OK,,200,http://www.studio1b.jp/,False,0,True,2026-05-27T19:53:56,
ＴＨ会場,https://sinjukuth.jimdofree.com/,WARN,ページ内にスタジオ名キーワード未検出,200,https://sinjukuth.jimdofree.com/,False,0,False,2026-05-27T19:53:58,
ソニズレンタルスタジオ新宿店,https://sonysdance.com/,WARN,ページ内にスタジオ名キーワード未検出,200,https://sonysdance.com/,False,0,False,2026-05-27T19:53:58,
レンタルスタジオマイレッスン 新宿御苑前,https://www.my-lesson.jp/,WARN,ページ内にスタジオ名キーワード未検出,200,https://www.my-lesson.jp/,False,0,False,2026-05-27T19:53:59,
STUDIO COCORO（スタジオココロ）- 新宿代々木のレンタルスペース&ダンススタジオ - 数々のイベントやメディアに出演,http://studio-cocoro.tokyo/,OK,,200,https://studio-cocoro.tokyo/,True,1,True,2026-05-27T19:54:09,
Beat Box Dance Studio,http://www.beatbox-jp.com/,OK,,200,http://www.beatbox-jp.com/,False,0,True,2026-05-27T19:54:10,
レンタルスタジオ「Ten（テン）」,https://shierushan.com/,ERROR,"接続エラー: 接続エラー: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",-1,https://shierushan.com/,False,0,False,2026-05-27T19:54:14,"接続エラー: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Ｍ＆Ｓダンススタジオ,http://www.msc-dance.net/,WARN,ページ内にスタジオ名キーワード未検出,200,https://www.msc-dance.net/,True,1,False,2026-05-27T19:54:15,
