rank,studio_title,group_key,is_partner,dslurl,address,primary_station,candidate_stations,article_station,distance_to_article_station_m,article_match_method,rental_fit_score,rental_fit_reason,selection_score,selection_reason,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,google_rating,google_review_count,official_url,website,branches,internal_note
1,BUZZ レンタルスタジオ 渋谷PARK店,BUZZ,1,https://dance-studio-lab.com/room/YmNlM2RmNGMtNGI0Mi00ZTg4LTk4OTYtNjY4NWRiM2JmNzhm/detail,〒150-0042 東京都渋谷区宇田川町１９-５,渋谷駅,渋谷駅|原宿駅,渋谷駅,351.2,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),97,提携(+25) | fit=60(+50) | 351m(+12) | 口コミ14件(+10) | 評価3.6(+0),50,25,12,10,0,0,0,0,3.6,14.0,https://buzz-st.com/shibuya2/,https://buzz-st.com/shibuya2/,BUZZ レンタルスタジオ 渋谷東口SQUARE店,
2,レンタルスタジオAivic渋谷道玄坂,レンタルスタジオAivic渋谷道玄坂,1,https://dance-studio-lab.com/room/NWE2MDljYmItN2I0ZC00ZjIzLWI3MGEtMmZiNmEzNWJjOWI4/detail,東京都渋谷区円山町23-10 渋谷ATビル201,神泉駅,神泉駅|渋谷駅|駒場東大前駅|池尻大橋駅|代官山駅|代々木公園駅|中目黒駅|代々木八幡駅|明治神宮前〈原宿〉駅|原宿駅,渋谷駅,738.9,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),73,提携(+20) | fit=60(+50) | 739m(+8) | 低評価ペナルティ(-5),50,20,8,0,0,0,0,-5,,,,,,
3,レンタルスタジオAivic恵比寿,レンタルスタジオAivic恵比寿,1,https://dance-studio-lab.com/room/MzMyZDY5NzktNDEzOS00MzAyLWJjNzEtMjZiMjNiNzUwNGMy/detail,東京都渋谷区恵比寿西1-14-3 満栄佐藤ビル202,恵比寿駅,恵比寿駅|代官山駅|中目黒駅|渋谷駅|広尾駅|神泉駅|目黒駅|祐天寺駅|表参道駅|白金台駅,渋谷駅,1369.0,candidate_stations_fallback,60,+30(dslurl)|+30(レンタルスタジオ),60,提携(+20) | fit=60(+50) | 1369m(+-5) | 低評価ペナルティ(-5),50,20,-5,0,0,0,0,-5,,,,,,
4,BUZZ渋谷MARKCITY,BUZZ渋谷MARKCITY,1,https://dance-studio-lab.com/room/MTJmOWU1NGQtYmViZC00YWEzLWI5Y2ItNGFhYzU3YTAyZTBk/detail,〒150-0043 東京都渋谷区道玄坂１丁目１７ 9BUZZビル,渋谷駅,渋谷駅,渋谷駅,458.6,station_distance,30,+30(dslurl),59,提携(+20) | fit=30(+15) | 459m(+12) | 口コミ7件(+6) | 評価4.3(+6),15,20,12,6,6,0,0,0,4.3,7.0,https://buzz-st.com/shibuya4,https://buzz-st.com/shibuya4,,
5,チェリッシュスタジオ3号館／10号館,チェリッシュスタジオ3号館/10号館,1,https://dance-studio-lab.com/room/ODU0ZjgzZjAtNDc3OS00N2YwLTkxZWEtNTNiMTc2MDE4NGRl/detail,〒150-0045 東京都渋谷区神泉町２０-２５ 神泉ＱＳビル 4階／7階,渋谷駅,渋谷駅|池尻大橋駅,渋谷駅,930.6,station_distance,30,+30(dslurl),49,提携(+20) | fit=30(+15) | 931m(+4) | 口コミ12件(+10) | 評価3.6(+0),15,20,4,10,0,0,0,0,3.6,12.0,http://cherish-studio.com/03st/,http://cherish-studio.com/03st/,,
6,渋谷 レンタルスタジオ スタジオミッション studio mission,渋谷 レンタルスタジオ スタジオミッション studio mission,0,,〒150-0043 東京都渋谷区道玄坂２丁目２８-５ 2-10F 渋谷道玄坂ビル 秀永,渋谷駅,渋谷駅,渋谷駅,375.8,station_distance,30,+30(レンタルスタジオ),47,fit=30(+15) | 376m(+12) | 口コミ82件(+20) | 評価3.5(+0),15,0,12,20,0,0,0,0,3.5,82.0,http://www.studio-mission.com/,http://www.studio-mission.com/,,
7,BUZZ渋谷TOWER,BUZZ渋谷TOWER,1,https://dance-studio-lab.com/room/YWZmOTdhZGMtMjk1MC00ODljLWE2YWUtMDRjMGM5NTIxZTg2/detail,東京都渋谷区東2-27-9],渋谷駅,渋谷駅,渋谷駅,981.8,station_distance,30,+30(dslurl),45,提携(+20) | fit=30(+15) | 982m(+4) | 口コミ9件(+6) | 評価3.9(+0),15,20,4,6,0,0,0,0,3.9,9.0,,,,
8,渋谷のレンタルスタジオ ユニアス,渋谷のレンタルスタジオ ユニアス,0,,〒150-0043 東京都渋谷区道玄坂１丁目７-１０ リードシー渋谷道玄坂 B1F 新大宗渋谷,渋谷駅,渋谷駅,渋谷駅,242.4,station_distance,30,+30(レンタルスタジオ),45,fit=30(+15) | 242m(+15) | 口コミ30件(+15) | 評価3.9(+0),15,0,15,15,0,0,0,0,3.9,30.0,https://unius.studio/,https://unius.studio/,,
9,タヒチアンダンススタジオ ライマーラマ表参道,タヒチアンダンススタジオ ライマーラマ表参道,0,,〒150-0001 東京都渋谷区神宮前５丁目１３-１４,表参道駅,表参道駅|原宿駅|渋谷駅,渋谷駅,960.7,station_distance,25,+25(ダンススタジオ),41,fit=25(+15) | 961m(+4) | 口コミ10件(+10) | 評価5.0(+12),15,0,4,10,12,0,0,0,5.0,10.0,https://raimarama.com/tahiti/terms/view/WPT00000008,https://raimarama.com/tahiti/terms/view/WPT00000008,,
10,キャナリー,キャナリー,0,,〒150-0002 東京都渋谷区渋谷１丁目４-６,渋谷駅,渋谷駅|表参道駅|原宿駅,渋谷駅,452.7,station_distance,20,+20(web),37,fit=20(+15) | 453m(+12) | 口コミ19件(+10) | 評価3.8(+0),15,0,12,10,0,0,0,0,3.8,19.0,https://www.triple-rental.studio/,https://www.triple-rental.studio/,,
11,チェリッシュスタジオ5号館,チェリッシュスタジオ5号館,1,https://dance-studio-lab.com/room/NTRjMDczNjgtY2EzMy00YjE4LWJlMjYtYmExOTZiYTBmZWZk/detail,東京都渋谷区道玄坂1-16-6 二葉ビル7D,渋谷駅,渋谷駅|神泉駅|代官山駅|駒場東大前駅|池尻大橋駅|中目黒駅|明治神宮前〈原宿〉駅|原宿駅|代々木公園駅|恵比寿駅,渋谷駅,415.7,station_distance,30,+30(dslurl),37,提携(+15) | fit=30(+15) | 416m(+12) | 低評価ペナルティ(-5),15,15,12,0,0,0,0,-5,,,,,,
12,表参道レンタルスタジオ スタジオ ティノラス,表参道レンタルスタジオ スタジオ ティノラス,0,,〒107-0062 東京都港区南青山５丁目１３-９,表参道駅,表参道駅|外苑前駅|渋谷駅,渋谷駅,1105.8,station_distance,30,+30(レンタルスタジオ),34,fit=30(+15) | 1106m(+4) | 口コミ25件(+10) | 評価4.2(+5),15,0,4,10,5,0,0,0,4.2,25.0,https://www.s-tenoras.com/,https://www.s-tenoras.com/,,
