article_title,studio_title,group_key,is_partner,business_status,google_rating,google_review_count,rental_fit_score,distance_to_article_station_m,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,selection_score,selection_reason,selected
渋谷駅のレンタルダンススタジオおすすめ,渋谷店 レンタルダンススタジオ ＲＯＯＴＳ,渋谷店 レンタルダンススタジオ ROOTS,0,OPERATIONAL,3.0,1.0,40,751.4,35,0,8,0,0,0,0,-23,20,fit=40(+35) | 751m(+8) | 口コミ1件(+0) | 評価3.0(+0) | 低評価ペナルティ(-23),False
渋谷駅のレンタルダンススタジオおすすめ,ARTIST DANCE STUDIO,ARTIST DANCE STUDIO,0,OPERATIONAL,5.0,1.0,25,543.5,15,0,8,0,2,0,0,-8,17,fit=25(+15) | 544m(+8) | 口コミ1件(+0) | 評価5.0(+2) | 低評価ペナルティ(-8),False
渋谷駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 渋谷東口SQUARE店,BUZZ,0,OPERATIONAL,4.3,20.0,30,197.0,15,0,15,10,8,0,0,0,48,fit=30(+15) | 197m(+15) | 口コミ20件(+10) | 評価4.3(+8),False
渋谷駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 渋谷PARK店,BUZZ,1,OPERATIONAL,3.6,14.0,60,351.2,50,25,12,10,0,0,0,0,97,提携(+25) | fit=60(+50) | 351m(+12) | 口コミ14件(+10) | 評価3.6(+0),True
渋谷駅のレンタルダンススタジオおすすめ,レンタルスタジオマイレッスン 渋谷店,レンタルスタジオマイレッスン,0,OPERATIONAL,3.9,13.0,30,899.7,15,0,4,10,0,0,0,0,29,fit=30(+15) | 900m(+4) | 口コミ13件(+10) | 評価3.9(+0),False
渋谷駅のレンタルダンススタジオおすすめ,渋谷のレンタルスタジオ ユニアス,渋谷のレンタルスタジオ ユニアス,0,OPERATIONAL,3.9,30.0,30,242.4,15,0,15,15,0,0,0,0,45,fit=30(+15) | 242m(+15) | 口コミ30件(+15) | 評価3.9(+0),True
渋谷駅のレンタルダンススタジオおすすめ,BUZZ渋谷MARKCITY,BUZZ渋谷MARKCITY,1,OPERATIONAL,4.3,7.0,30,458.6,15,20,12,6,6,0,0,0,59,提携(+20) | fit=30(+15) | 459m(+12) | 口コミ7件(+6) | 評価4.3(+6),True
渋谷駅のレンタルダンススタジオおすすめ,キャナリー,キャナリー,0,OPERATIONAL,3.8,19.0,20,452.7,15,0,12,10,0,0,0,0,37,fit=20(+15) | 453m(+12) | 口コミ19件(+10) | 評価3.8(+0),True
渋谷駅のレンタルダンススタジオおすすめ,タヒチアンダンススタジオ ライマーラマ表参道,タヒチアンダンススタジオ ライマーラマ表参道,0,OPERATIONAL,5.0,10.0,25,960.7,15,0,4,10,12,0,0,0,41,fit=25(+15) | 961m(+4) | 口コミ10件(+10) | 評価5.0(+12),True
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ3号館／10号館,チェリッシュスタジオ3号館/10号館,1,OPERATIONAL,3.6,12.0,30,930.6,15,20,4,10,0,0,0,0,49,提携(+20) | fit=30(+15) | 931m(+4) | 口コミ12件(+10) | 評価3.6(+0),True
渋谷駅のレンタルダンススタジオおすすめ,レンタルスタジオ HIKARI 渋谷,HIKARI,0,OPERATIONAL,4.5,2.0,30,424.6,15,0,12,0,0,0,0,0,27,fit=30(+15) | 425m(+12) | 口コミ2件(+0) | 評価4.5(+0),False
渋谷駅のレンタルダンススタジオおすすめ,渋谷 レンタルスタジオ スタジオミッション studio mission,渋谷 レンタルスタジオ スタジオミッション studio mission,0,OPERATIONAL,3.5,82.0,30,375.8,15,0,12,20,0,0,0,0,47,fit=30(+15) | 376m(+12) | 口コミ82件(+20) | 評価3.5(+0),True
渋谷駅のレンタルダンススタジオおすすめ,表参道レンタルスタジオ スタジオ ティノラス,表参道レンタルスタジオ スタジオ ティノラス,0,OPERATIONAL,4.2,25.0,30,1105.8,15,0,4,10,5,0,0,0,34,fit=30(+15) | 1106m(+4) | 口コミ25件(+10) | 評価4.2(+5),True
渋谷駅のレンタルダンススタジオおすすめ,BUZZ渋谷TOWER,BUZZ渋谷TOWER,1,OPERATIONAL,3.9,9.0,30,981.8,15,20,4,6,0,0,0,0,45,提携(+20) | fit=30(+15) | 982m(+4) | 口コミ9件(+6) | 評価3.9(+0),True
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ1号館/6号館,チェリッシュスタジオ1号館/6号館,1,OPERATIONAL,,,30,649.1,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 649m(+8) | 低評価ペナルティ(-5),True
渋谷駅のレンタルダンススタジオおすすめ,Hina STUDIO（ヒナスタジオ）【目黒スタジオ】,Hina STUDIO,1,OPERATIONAL,,,30,671.8,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 672m(+8) | 低評価ペナルティ(-5),False
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ7号館,チェリッシュスタジオ7号館,1,OPERATIONAL,,,30,600.5,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 600m(+8) | 低評価ペナルティ(-5),True
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ4号館/8号館,チェリッシュスタジオ4号館/8号館,1,OPERATIONAL,,,30,600.5,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 600m(+8) | 低評価ペナルティ(-5),False
渋谷駅のレンタルダンススタジオおすすめ,ザ・スペース大久保南口,ザ・スペース大久保南口,1,OPERATIONAL,,,30,600.5,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 600m(+8) | 低評価ペナルティ(-5),True
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ5号館,チェリッシュスタジオ5号館,1,OPERATIONAL,,,30,415.7,15,15,12,0,0,0,0,-5,37,提携(+15) | fit=30(+15) | 416m(+12) | 低評価ペナルティ(-5),True
渋谷駅のレンタルダンススタジオおすすめ,レンタルスタジオAivic渋谷道玄坂,レンタルスタジオAivic渋谷道玄坂,1,OPERATIONAL,,,60,738.9,50,20,8,0,0,0,0,-5,73,提携(+20) | fit=60(+50) | 739m(+8) | 低評価ペナルティ(-5),True
渋谷駅のレンタルダンススタジオおすすめ,チェリッシュスタジオ9号館,チェリッシュスタジオ9号館,1,OPERATIONAL,,,30,518.1,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 518m(+8) | 低評価ペナルティ(-5),False
渋谷駅のレンタルダンススタジオおすすめ,レンタルスタジオAivic恵比寿,レンタルスタジオAivic恵比寿,1,OPERATIONAL,,,60,1369.0,50,20,-5,0,0,0,0,-5,60,提携(+20) | fit=60(+50) | 1369m(+-5) | 低評価ペナルティ(-5),True
