タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner,partner_link,partner_priority
スタジオハイシー,〒160-0023 東京都新宿区西新宿３丁目２-２７ 第7 7 オーチュー B1階,,https://studio-hide-and-seek.co.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6938695,35.6871346,東京,新宿駅,714.0,新宿駅|代々木駅|西武新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h|feature:midnight,0,,0
レンタルスタジオswamp西新宿,〒160-0023 東京都新宿区西新宿５丁目２１-５ ＢＩＴ西新宿 B01号室,,https://www.st-swamp2023.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6840186,35.6922065,東京,西新宿五丁目駅（清水橋）,264.0,西新宿五丁目駅（清水橋）|中野坂上駅|都庁前駅|西新宿駅|中野新橋駅|初台駅|新宿西口駅|新中野駅|西武新宿駅|新宿駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
ソニズレンタルスタジオ新宿店,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 柏木 MURA B1F,,https://sonysdance.com/,,"2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分",1.0,139.6966672,35.6970176,東京,西武新宿駅,375.0,西武新宿駅|新大久保駅|新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h|feature:midnight,0,,0
BUZZ新宿,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下1階,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6972769,35.6959773,東京,西武新宿駅,298.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:mirror|feature:midnight,1,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,100
レンタルダンススタジオ LANDstudio 新宿店,〒169-0073 東京都新宿区百人町１丁目２２-１９ 筒井ビル B1F,,,,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6972499,35.7002941,東京,新大久保駅,276.0,新大久保駅|西武新宿駅|新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h|feature:midnight,0,,0
BUZZ レンタルスタジオ新宿コンシェルジュ店,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下 一階,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6973397,35.6959487,東京,西武新宿駅,292.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:shooting|feature:mirror|feature:midnight,1,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail,100
BUZZ レンタルスタジオ 新宿ハウス店,〒160-0023 東京都新宿区西新宿７丁目１６-１,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.6975152,35.6957677,東京,西武新宿駅,276.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:mirror|feature:midnight,1,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,100
村田正樹タップダンス教室,〒169-0074 東京都新宿区北新宿２丁目１-２,,https://www.narukutsu.com/,,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 10時00分～14時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 11時30分～13時00分
2024-03-06 水曜日 定休日",1.0,139.68932,35.6970596,東京,西武新宿駅,1025.0,西武新宿駅|新大久保駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
㈱Tera-coya,〒101-0025 東京都千代田区神田佐久間町３丁目３１-３,,http://teracoya.tokyo/,03-5829-8450,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1.0,139.778191,35.698614,東京,秋葉原駅,359.0,秋葉原駅,1.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h|feature:midnight,0,,0
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５-１３ 濱庄ビル B101,,https://racinestudio.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.7151154,35.6895504,東京,四谷三丁目駅,229.0,四谷三丁目駅|曙橋駅|新宿御苑前駅|四ツ谷駅|若松河田駅|信濃町駅|牛込柳町駅|国立競技場駅|千駄ケ谷駅|新宿三丁目駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
